name,predicted probability
8jp0_P_0,0.38691
8qni_P_0,0.31525
9dnm_P_0,0.30634
7gqu_P_0,0.27019
8uk6_P_1,0.25649
8v81_P_0,0.24712
8uk6_P_0,0.19394
8v81_P_3,0.18332
8v81_P_2,0.18064
8aq6_P_5,0.16172
8f4s_P_13,0.15542
7yg5_P_0,0.15234
8jp0_P_1,0.14676
8aq6_P_2,0.14628
7yg5_P_1,0.12988
8jp0_P_16,0.10785
8aq6_P_8,0.1048
8v81_P_1,0.09677
7yg5_P_4,0.08938
8uk6_P_2,0.08542
8aq6_P_0,0.08056
7yg5_P_5,0.07535
8aq6_P_1,0.07248
8v81_P_5,0.07045
8aq6_P_3,0.06689
8f4s_P_0,0.06443
7yg5_P_3,0.06089
8v81_P_8,0.05966
8v81_P_16,0.05579
8v81_P_4,0.05504
8v81_P_21,0.052
8jp0_P_8,0.05065
8v81_P_33,0.05062
7yg5_P_2,0.05041
8jp0_P_6,0.05018
8v81_P_11,0.04972
8jp0_P_3,0.0493
8v81_P_6,0.04891
7gqu_P_1,0.04827
7yg5_P_6,0.04822
7yg5_P_8,0.04767
8f4s_P_2,0.04761
9dnm_P_1,0.04758
7yg5_P_7,0.04752
7yg5_P_9,0.04745
8jp0_P_9,0.0471
8uk6_P_3,0.04687
8v81_P_7,0.0464
9dnm_P_3,0.04591
7yg5_P_18,0.04552
7yg5_P_24,0.04552
7yg5_P_20,0.04551
7gqu_P_3,0.04541
7yg5_P_23,0.04505
8v81_P_36,0.04489
7yg5_P_17,0.04488
7gqu_P_11,0.04485
8f4s_P_1,0.04437
8v81_P_13,0.04437
7yg5_P_19,0.04409
7yg5_P_49,0.04408
8v81_P_10,0.04375
7yg5_P_16,0.0436
9dnm_P_7,0.04356
8jp0_P_2,0.0435
8v81_P_12,0.04347
7yg5_P_25,0.04316
8v81_P_14,0.04316
7gqu_P_2,0.04312
8f4s_P_3,0.04295
8v81_P_9,0.04291
9dnm_P_2,0.04291
7yg5_P_10,0.0429
7yg5_P_11,0.04279
8jp0_P_5,0.04256
8jp0_P_4,0.04255
7yg5_P_14,0.04249
8v81_P_18,0.04245
7yg5_P_42,0.04232
8v81_P_27,0.04229
7yg5_P_21,0.04225
7yg5_P_26,0.04225
9dnm_P_13,0.04224
7yg5_P_43,0.04223
8qni_P_3,0.04223
8uk6_P_12,0.04213
7yg5_P_32,0.04211
8qni_P_4,0.04209
8aq6_P_6,0.04206
8v81_P_23,0.04206
7yg5_P_13,0.04201
8qni_P_1,0.04196
8uk6_P_4,0.04193
8uk6_P_7,0.04188
7yg5_P_40,0.04187
8aq6_P_11,0.04186
8v81_P_24,0.04184
7yg5_P_29,0.04182
7yg5_P_12,0.04181
7yg5_P_22,0.04179
8v81_P_20,0.04179
8f4s_P_7,0.04178
8uk6_P_6,0.04174
8jp0_P_12,0.04173
8v81_P_15,0.04172
8uk6_P_13,0.0417
8v81_P_26,0.04168
7yg5_P_15,0.04167
8jp0_P_7,0.04167
7yg5_P_28,0.04165
8uk6_P_14,0.04164
8uk6_P_10,0.04162
7yg5_P_36,0.0416
7gqu_P_7,0.04156
7yg5_P_31,0.04155
8f4s_P_6,0.04148
7yg5_P_33,0.04145
8v81_P_22,0.04143
8v81_P_35,0.04142
7yg5_P_45,0.04141
7yg5_P_27,0.0414
8uk6_P_5,0.04139
8uk6_P_8,0.04139
9dnm_P_5,0.04136
8qni_P_2,0.04133
8v81_P_41,0.04133
7yg5_P_34,0.0413
8v81_P_34,0.0413
8f4s_P_11,0.04128
8v81_P_25,0.04128
8qni_P_5,0.04124
8aq6_P_12,0.04122
8v81_P_19,0.04118
8aq6_P_9,0.04117
8v81_P_17,0.04117
8aq6_P_10,0.04116
8jp0_P_11,0.04112
8v81_P_31,0.04109
8v81_P_30,0.04108
9dnm_P_4,0.04106
8aq6_P_7,0.04105
7gqu_P_6,0.04103
8jp0_P_18,0.04103
8f4s_P_4,0.04102
8qni_P_7,0.04102
8uk6_P_18,0.04101
8uk6_P_16,0.041
8aq6_P_4,0.04099
8uk6_P_17,0.04099
7gqu_P_5,0.04098
8uk6_P_9,0.04098
7yg5_P_39,0.04097
8qni_P_6,0.04097
8v81_P_39,0.04097
9dnm_P_6,0.04097
7yg5_P_46,0.04096
8v81_P_28,0.04095
8jp0_P_10,0.04094
8f4s_P_12,0.04093
8v81_P_38,0.04093
8f4s_P_5,0.04092
8jp0_P_20,0.04091
7gqu_P_9,0.04089
8v81_P_29,0.04089
7gqu_P_4,0.04086
7yg5_P_44,0.04086
8jp0_P_14,0.04086
7gqu_P_8,0.04085
8v81_P_40,0.04085
7yg5_P_41,0.04084
8f4s_P_10,0.04084
8jp0_P_15,0.04084
8uk6_P_11,0.04084
8uk6_P_15,0.04084
8jp0_P_21,0.04082
7yg5_P_30,0.04081
8jp0_P_13,0.04079
9dnm_P_9,0.04079
8f4s_P_14,0.04078
7yg5_P_38,0.04077
8f4s_P_9,0.04077
7yg5_P_48,0.04075
8qni_P_9,0.04074
9dnm_P_10,0.04074
7yg5_P_37,0.04073
8jp0_P_19,0.04073
8uk6_P_19,0.04073
8qni_P_8,0.04072
7yg5_P_47,0.04071
8jp0_P_17,0.04071
9dnm_P_11,0.04071
9dnm_P_8,0.0407
7gqu_P_10,0.04068
8v81_P_32,0.04068
8v81_P_37,0.04068
8v81_P_42,0.04067
7yg5_P_35,0.04066
9dnm_P_12,0.04063
8f4s_P_8,0.04058
