model	tp	fn	fp	mcc	macro-f1	confmat
model5	17	4	8	0,7285657580522551	0,8627002288329519	"     0   1
0  431   8
1    4  17"
allo	13	8	8	0,5977710233029382	0,798885511651469	"     0   1
0  368   8
1    8  13"
passer_ensemble	19	5	44	0,4662143274075201	0,7027158205925828	"     0   1
0  757  44
1    5  19"
mefallosite	10	11	11	0,4605876393110436	0,7302938196555218	"     0   1
0  694  11
1   11  10"
passer_automl	18	6	45	0,43905717001775774	0,6905817724535045	"     0   1
0  756  45
1    6  18"
alloses	6	15	6	0,36603443656312795	0,6753166338305657	"     0  1
0  797  6
1   15  6"
passer_rank	11	13	52	0,24895706828942135	0,6056434354799567	"     0   1
0  749  52
1   13  11"
deepallo	6	15	57	0,1273498687481414	0,5484106686152722	"     0   1
0  746  57
1   15   6"
allositepro	15	6	8			
stingallo	2	19	6			
allofusion	12	9	145			
