model	tp	fn	fp	mcc	macro-f1	confmat
allositepro	14	16	8			
model5	18	12	12	0,5786856127886323	0,7893428063943162	"     0   1
0  551  12
1   12  18"
alloses	8	22	6	0,37887906596781457	0,6750614250614251	"      0  1
0  1022  6
1    22  8"
allo	15	15	15	0,46993987975951906	0,7349699398797596	"     0   1
0  484  15
1   15  15"
mefallosite	14	16	16	0,44836003051106027	0,7241800152555301	"     0   1
0  858  16
1   16  14"
passer_ensemble	20	10	70	0,35616440082278283	0,6466466466466466	"     0   1
0  959  70
1   10  20"
passer_automl	20	10	70	0,35616440082278283	0,6466466466466466	"     0   1
0  959  70
1   10  20"
stingallo	2	28	14			
passer_rank	11	19	79	0,17247376747635734	0,5671421421421421	"     0   1
0  950  79
1   19  11"
allofusion	29	16	221			
deepallo	6	24	84	0,07037829018377367	0,5229458917835671	"     0   1
0  944  84
1   24   6"
