model	tp	fn	fp	mcc	macro-f1	confmat
model5	7	2	2	0,7693032015065914	0,8846516007532956	"     0  1
0  234  2
1    2  7"
allositepro	6	3	2			
passer_ensemble	5	4	4	0,5453774385072095	0,7726887192536047	"     0  1
0  389  4
1    4  5"
allo	5	4	4	0,5335775335775336	0,7667887667887667	"     0  1
0  178  4
1    4  5"
passer_automl	4	5	5	0,43172179813401185	0,7158608990670059	"     0  1
0  388  5
1    5  4"
alloses	3	6	6	0,31802721088435376	0,6590136054421769	"     0  1
0  386  6
1    6  3"
deepallo	2	7	7	0,20445572476029328	0,6022278623801467	"     0  1
0  387  7
1    7  2"
mefallosite	2	7	7	0,2007498295841854	0,6003749147920927	"     0  1
0  319  7
1    7  2"
passer_rank	1	8	8	0,090754877014419	0,5453774385072095	"     0  1
0  385  8
1    8  1"
stingallo	1	8	1			
