model	tp	fn	fp	tn	mcc	macro-f1
model5	20	10	10	553,0	0,6489046773238603	0,8244523386619301
passer_ensemble	15	15	15	1014,0	0,48542274052478135	0,7427113702623906
passer_automl	15	15	15	1014,0	0,48542274052478135	0,7427113702623906
allo	15	15	15	484,0	0,46993987975951906	0,7349699398797596
alloses	14	16	16	1012,0	0,4511024643320363	0,7255512321660182
mefallosite	14	16	16	858,0	0,44836003051106027	0,7241800152555301
allofusion	14	16	221			
allositepro	13	17	4			
passer_rank	6	24	24	1005,0	0,17667638483965015	0,5883381924198251
deepallo	5	25	25	1003,0	0,14234760051880674	0,5711738002594033
stingallo	2	28	14			
