model	tp	fn	fp	mcc	macro-f1	confmat
allofusion	8	4	62			
passer_ensemble	5	2	16	0,39684768743467375	0,6675149175149175	"     0   1
0  398  16
1    2   5"
passer_automl	5	2	16	0,39684768743467375	0,6675149175149175	"     0   1
0  398  16
1    2   5"
mefallosite	4	3	3	0,5628815628815629	0,7814407814407814	"     0  1
0  348  3
1    3  4"
allo	4	3	3	0,5535714285714286	0,7767857142857142	"     0  1
0  165  3
1    3  4"
model5	4	3	4	0,5191162382103879	0,7589061345158906	"     0  1
0  222  4
1    3  4"
passer_rank	2	5	19	0,1408626878279358	0,5566865566865566	"     0   1
0  395  19
1    5   2"
deepallo	2	5	19	0,14031823427126755	0,5563531945441493	"     0   1
0  386  19
1    5   2"
allositepro	1	6	0			
alloses	0	7	2	-0,009070851165998586	0,49454545454545457	"     0  1
0  408  2
1    7  0"
stingallo	0	7	4			
