model	tp	fn	fp	mcc	macro-f1	confmat
passer_ensemble	9	15	63	0,18516374912337558	0,5741125377643505	"     0   1
0  954  63
1   15   9"
allofusion	9	15	199			
mefallosite	8	16	16	0,3153355830521185	0,6576677915260593	"     0   1
0  873  16
1   16   8"
passer_automl	8	16	64	0,15993727839474922	0,5631923464249748	"     0   1
0  953  64
1   16   8"
passer_rank	8	16	64	0,15993727839474922	0,5631923464249748	"     0   1
0  953  64
1   16   8"
model5	6	18	16	0,23175252030452984	0,6157289002557544	"     0   1
0  561  16
1   18   6"
deepallo	5	19	67	0,0840022219955233	0,5302780594996619	"     0   1
0  943  67
1   19   5"
allo	4	20	20	0,12626262626262627	0,5631313131313131	"     0   1
0  475  20
1   20   4"
allositepro	4	20	8			
alloses	1	23	7	0,059730160885351255	0,5239042605288933	"      0  1
0  1006  7
1    23  1"
stingallo	1	23	10			
