model;tp;fn;fp;mcc;macro-f1;confmat
model5;6;3;3;0,6551724137931034;0,8275862068965517;"     0  1
0  258  3
1    3  6"
mefallosite;4;5;5;0,4323962516733601;0,7161981258366801;"     0  1
0  410  5
1    5  4"
allo;4;5;5;0,421079958463136;0,7105399792315681;"     0  1
0  209  5
1    5  4"
passer_automl;3;6;6;0,32088520055325037;0,6604426002766252;"     0  1
0  476  6
1    6  3"
alloses;3;6;6;0,32088520055325037;0,6604426002766252;"     0  1
0  476  6
1    6  3"
passer_ensemble;2;7;7;0,20769940064545875;0,6038497003227294;"     0  1
0  475  7
1    7  2"
passer_rank;2;7;7;0,20769940064545875;0,6038497003227294;"     0  1
0  475  7
1    7  2"
deepallo;2;7;7;0,20742306788818415;0,6037115339440922;"     0  1
0  466  7
1    7  2"
allositepro;1;8;1;;;
stingallo;0;9;1;;;
