model	tp	fn	fp	tn	mcc	macro-f1	confmat
model5	10	14	14	563,0	0,39240323512420566	0,6962016175621029	"     0   1
0  563  14
1   14  10"
allofusion	9	15	199				
mefallosite	8	16	16	873,0	0,3153355830521185	0,6576677915260593	"     0   1
0  873  16
1   16   8"
passer_automl	6	18	18	999,0	0,2323008849557522	0,6161504424778761	"     0   1
0  999  18
1   18   6"
alloses	6	18	18	995,0	0,2322309970384995	0,6161154985192497	"     0   1
0  995  18
1   18   6"
passer_rank	4	20	20	997,0	0,14700098328416913	0,5735004916420846	"     0   1
0  997  20
1   20   4"
allo	4	20	20	475,0	0,12626262626262627	0,5631313131313131	"     0   1
0  475  20
1   20   4"
allositepro	4	20	5				
passer_ensemble	3	21	21	996,0	0,10435103244837758	0,5521755162241888	"     0   1
0  996  21
1   21   3"
deepallo	3	21	21	989,0	0,1042079207920792	0,5521039603960396	"     0   1
0  989  21
1   21   3"
stingallo	1	23	10				
