model	tp	fn	fp	mcc	macro-f1	confmat
model5	6	1	1	0,8527180783817951	0,9263590391908976	"     0  1
0  225  1
1    1  6"
allo	4	3	3	0,5535714285714286	0,7767857142857142	"     0  1
0  165  3
1    3  4"
passer_automl	4	3	4	0,5261204593993967	0,762434502216848	"     0  1
0  410  4
1    3  4"
mefallosite	4	3	4	0,5246103324661903	0,7616737993342844	"     0  1
0  347  4
1    3  4"
alloses	3	4	4	0,418815331010453	0,7094076655052265	"     0  1
0  406  4
1    4  3"
passer_ensemble	3	4	5	0,39006596713456493	0,694558645707376	"     0  1
0  409  5
1    4  3"
allofusion	3	4	62			
deepallo	2	5	5	0,27336860670194	0,6366843033509699	"     0  1
0  400  5
1    5  2"
passer_rank	2	5	6	0,25401147486973324	0,6266827891979041	"     0  1
0  408  6
1    5  2"
allositepro	1	6	0			
stingallo	0	7	4			
