pdb,names
1egy,CYTOCHROME P450ERYF
1tbf,"cGMP-specific 3',5'-cyclic phosphodiesterase"
2bu6,PYRUVATE DEHYDROGENASE KINASE ISOENZYME 2
2c2b,"THREONINE SYNTHASE 1, CHLOROPLASTIC"
2cdq,ASPARTOKINASE
2dz9,biotin--[acetyl-CoA-carboxylase] ligase
2j0x,LYSINE-SENSITIVE ASPARTOKINASE 3
2jfn,GLUTAMATE RACEMASE
2vvt,GLUTAMATE RACEMASE
2zb2,"Glycogen phosphorylase, liver form"
3ath,Putative uncharacterized protein PH0207
3cev,PROTEIN (ARGINASE)
3d2e,Heat shock protein homolog SSE1
3f6g,Alpha-isopropylmalate synthase
3i0s,Reverse transcriptase/ribonuclease H
3i59,"('Transcriptional regulator, Crp/Fnr family', 'Transcriptional regulator, Crp/Fnr family')"
3kjn,"('Caspase-8', 'Caspase-8')"
3o0n,Ribonucleoside-diphosphate reductase
3uvv,Retinoic acid receptor RXR-alpha
4dn0,Putative uncharacterized protein pelD
4dpq,"Dihydrodipicolinate synthase 2, chloroplastic"
4lrl,HD domain protein
4n7j,Caspase-6
4op0,BirA bifunctional protein
4pcu,Cystathionine beta-synthase
4tme,Ethanolamine utilization protein EutL
5i73,Sodium-dependent serotonin transporter
5jjr,Genome polyprotein
5kls,Ion transport protein
5kwj,Diacylglycerol acyltransferase/mycolyltransferase Ag85C
5l7i,"Smoothened homolog,Soluble cytochrome b562,Smoothened homolog"
5npk,"DNA gyrase subunit B,DNA gyrase subunit B,DNA gyrase subunit A"
5tkb,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
5uyy,Prephenate dehydrogenase
5w6y,Chorismate mutase
5we8,Serine/threonine-protein kinase WNK1
5zwj,Epidermal growth factor receptor
6boz,N-lysine methyltransferase KMT5A
6czm,ATP phosphoribosyltransferase catalytic subunit
6e5g,Transcriptional enhancer factor TEF-4
6iil,Ubiquitin carboxyl-terminal hydrolase 14
6izw,Mutual gliding-motility protein MglA
6kkb,Thyroid hormone receptor beta
6li0,Chimera of G-protein coupled receptor 52 and Flavodoxin
6n3n,"eIF-2-alpha kinase GCN2,eIF-2-alpha kinase GCN2"
6nzf,Non-receptor tyrosine-protein kinase TYK2
6o0h,ATP-citrate synthase
6pf1,Histone acetyltransferase p300
6qu3,ATP-dependent 6-phosphofructokinase
6qxl,Pyruvate kinase
6qzh,"C-C chemokine receptor type 7,Sialidase A,C-C chemokine receptor type 7"
6shq,Glucose-1-phosphate adenylyltransferase
6t4k,Nuclear receptor ROR-gamma
6w2j,"Carbamoyl-phosphate synthase [ammonia], mitochondrial"
6z89,GTP cyclohydrolase 1
7fee,"Cannabinoid receptor 1,GlgA glycogen synthase"
7q12,"Glycogen [starch] synthase, muscle"
8gti,Isoform CRF-R2 of Corticotropin-releasing factor receptor 1
8jr9,"('Guanine nucleotide-binding protein G(s) subunit alpha-1', 'Parathyroid hormone/parathyroid hormone-related peptide receptor')"
8v8c,"Neuronal acetylcholine receptor subunit alpha-7,Soluble cytochrome b562"
