pdb,names
1bj4,"Serine hydroxymethyltransferase, cytosolic"
1dku,PROTEIN (PHOSPHORIBOSYL PYROPHOSPHATE SYNTHETASE)
1ecb,GLUTAMINE PHOSPHORIBOSYLPYROPHOSPHATE AMIDOTRANSFERASE
1hkb,D-GLUCOSE 6-PHOSPHOTRANSFERASE
1i1q,ANTHRANILATE SYNTHASE COMPONENT I
1i6k,TRYPTOPHANYL-TRNA SYNTHETASE
1jlr,Uracil Phosphoribosyltransferase
1kmp,IRON(III) DICITRATE TRANSPORT PROTEIN FECA
1msv,S-adenosylmethionine decarboxylase proenzyme
1ne7,Glucosamine-6-phosphate isomerase
1og0,"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited"
1opl,proto-oncogene tyrosine-protein kinase
1q43,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
1qqb,PURINE NUCLEOTIDE SYNTHESIS REPRESSOR
1rd4,Integrin alpha-L
1t5a,"Pyruvate kinase, M2 isozyme"
1tjp,Tryptophan synthase alpha chain
1vea,Hut operon positive regulatory protein
1ygc,Coagulation factor VII
1zxm,"DNA topoisomerase II, alpha isozyme"
2b08,Copper-containing nitrite reductase
2bty,ACETYLGLUTAMATE KINASE
2d5x,"('Hemoglobin alpha subunit', 'Hemoglobin beta subunit')"
2fhy,"Fructose-1,6-bisphosphatase 1"
2ha2,Acetylcholinesterase
2him,L-asparaginase 1
2i80,D-alanine-D-alanine ligase
2jfz,GLUTAMATE RACEMASE
2ldb,L-LACTATE DEHYDROGENASE
2o8e,DNA mismatch repair protein Msh2
2p9g,D-3-phosphoglycerate dehydrogenase
2q5o,Phenylpyruvate decarboxylase
2qei,Transporter
2qmx,Prephenate dehydratase
2vk1,PYRUVATE DECARBOXYLASE ISOZYME 1
2ylq,ANDROGEN RECEPTOR
2zv2,Calcium/calmodulin-dependent protein kinase kinase 2
3auy,DNA double-strand break repair rad50 ATPase
3c1n,Probable aspartokinase
3cmu,Protein recA
3d2p,Putative acetylglutamate synthase
3dba,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'"
3dc2,D-3-phosphoglycerate dehydrogenase
3e5u,Cyclic nucleotide-binding protein
3edc,Lactose operon repressor
3eps,Isocitrate dehydrogenase kinase/phosphatase
3fud,Leukotriene A-4 hydrolase
3fzy,RTX toxin RtxA
3ho6,Toxin A
3kcc,Catabolite gene activator
3kh5,protein MJ1225
3kq7,Mitogen-activated protein kinase p38 alpha
3l76,Aspartokinase
3mks,Cell division control protein 4
3mwb,Prephenate dehydratase
3nqs,"Nitric oxide synthase, inducible"
3pjg,UDP-glucose 6-dehydrogenase
3qh0,Prostaglandin G/H synthase 2
3smq,Protein arginine N-methyltransferase 3
3tho,Probable DNA double-strand break repair Rad50 ATPase
3uqd,6-phosphofructokinase isozyme 2
3wgg,Redox-sensing transcriptional repressor rex
3x1m,Phosphopantetheine adenylyltransferase
3zm9,CHOLINE KINASE ALPHA
3zou,FARNESYL PYROPHOSPHATE SYNTHASE
4a79,AMINE OXIDASE [FLAVIN-CONTAINING] B
4aau,60 KDA CHAPERONIN
4aqh,PLASMINOGEN ACTIVATOR INHIBITOR 1
4avc,LYSINE ACETYLTRANSFERASE
4b6e,"NON-STRUCTURAL PROTEIN 4A, SERINE PROTEASE NS3"
4bo1,3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE FABG
4bqh,UDP-N-ACETYLGLUCOSAMINE PYROPHOSPHORYLASE
4bxc,C4 PHOSPHOENOLPYRUVATE CARBOXYLASE
4c8b,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2
4coj,ANAEROBIC RIBONUCLEOSIDE-TRIPHOSPHATE REDUCTASE
4ejl,Protease
4fha,Dihydrodipicolinate synthase
4g9c,Serine/threonine-protein kinase B-raf
4gqq,Pancreatic alpha-amylase
4i7w,Dihydrodipicolinate synthase
4kzt,N-acetylglutamate kinase / N-acetylglutamate synthase
4mi4,Spermidine n1-acetyltransferase
4nes,UDP-N-acetylglucosamine 2-epimerase
4ofg,CGMP-dependent protein kinase
4ohf,Cytosolic IMP-GMP specific 5'-nucleotidase
4or2,"Soluble cytochrome b562, Metabotropic glutamate receptor 1"
4ov9,isopropylmalate synthase
4q9o,Isoprenyl transferase
4rt7,Receptor-type tyrosine-protein kinase FLT3
4w9n,"('Enoyl-[acyl-carrier-protein] reductase', 'Enoyl-[acyl-carrier-protein] reductase')"
4yb5,ATP phosphoribosyltransferase
4ypl,Lon protease
4z07,cGMP-dependent protein kinase 1
4zht,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
4zsk,HTH-type transcriptional repressor DasR
5aa4,MEMBRANE-BOUND LYTIC MUREIN TRANSGLYCOSYLASE F
5btr,NAD-dependent protein deacetylase sirtuin-1
5c2o,Putative deoxycytidylate deaminase
5dl1,ATP-dependent Clp protease proteolytic subunit
5dzh,Estrogen receptor
5f1u,4-hydroxy-tetrahydrodipicolinate synthase
5f2e,GTPase KRas
5f6y,SUMO-conjugating enzyme UBC9
5f74,14-3-3 protein beta/alpha
5fii,PHENYLALANINE-4-HYDROXYLASE
5gug,"Inositol 1,4,5-trisphosphate receptor type 1"
5h08,Receptor-type tyrosine-protein phosphatase zeta
5hot,Integrase
5htc,Serine/threonine-protein kinase haspin
5hue,3-Deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
5i2c,GATS-like protein 3
5icn,"('Metastasis-associated protein MTA1', 'Histone deacetylase 1')"
5ifu,Proline--tRNA ligase
5in4,"GDP-mannose 4,6 dehydratase"
5iov,"('N-methyl-D-aspartate receptor subunit NR1-8a', 'Ionotropic glutamate receptor subunit NR2B')"
5iv3,Adenylate cyclase type 10
5ixe,Beta-galactosidase
5j6f,"3-deoxy-D-arabino-heptulosonate 7-phosphate synthase, chorismate mutase-isozyme 3"
5jv1,Farnesyl pyrophosphate synthase
5jwc,"NADH dehydrogenase, putative"
5kcv,RAC-alpha serine/threonine-protein kinase
5kde,Inorganic pyrophosphatase
5klq,Orf34
5lrs,Listeriolysin positive regulatory factor A
5lvx,Glucosylceramidase
5lwe,C-C chemokine receptor type 9
5m0s,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
5m1a,Penicillin-binding protein 2
5mo6,Casein kinase II subunit alpha
5mro,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic"
5n9t,Ubiquitin carboxyl-terminal hydrolase 7
5ngz,Ubiquitin-conjugating enzyme E2 T
