PDB,Sites,Pockets,TP,FN,FP,TN,Ranks
9xro,1,1,1,0,0,25,[1]
6r8g,4,4,3,1,1,40,"[1, 2, 3, 7]"
8qud,4,4,4,0,0,73,"[1, 2, 3, 4]"
7v6g,2,2,1,1,1,19,"[1, 4]"
8aq6,1,1,1,0,0,12,[1]
7pol,2,2,2,0,0,24,"[1, 2]"
7k1c,2,3,2,1,1,12,"[1, 2, 4]"
7e1n,2,2,2,0,0,11,"[1, 2]"
8dsc,2,2,2,0,0,35,"[1, 2]"
8hx9,1,1,1,0,0,48,[1]
7pt0,1,1,1,0,0,13,[1]
7ac8,1,1,1,0,0,17,[1]
8hub,3,3,1,2,2,86,"[1, 7, 8]"
9hgm,2,2,2,0,0,33,"[1, 2]"
9du7,2,2,1,1,1,8,"[1, 6]"
8fdb,1,1,1,0,0,24,[1]
9l65,2,2,1,1,1,33,"[2, 4]"
8qa6,2,2,1,1,1,23,"[2, 3]"
7u3a,2,2,1,1,1,49,"[2, 22]"
9rhg,1,2,1,1,1,33,"[2, 7]"
7sql,1,1,0,1,1,25,[3]
9yic,1,2,0,2,2,5,"[3, 4]"
9lhf,1,1,0,1,1,13,[3]
9ohl,1,1,0,1,1,15,[4]
6on4,1,1,0,1,1,16,[4]
9m8v,2,1,0,1,1,24,[4]
8e1u,2,2,0,2,2,82,"[4, 6]"
7agj,2,4,1,3,3,70,"[4, 50, 64, 65]"
8p23,2,3,0,3,3,84,"[6, 7, 17]"
6z74,1,1,0,1,1,34,[8]
7snh,4,8,0,8,8,61,"[10, 15, 19, 20, 21, 31, 56, 58]"
6iy8,4,4,0,4,4,95,"[25, 30, 31, 46]"
8xlr,2,2,0,2,2,76,"[54, 58]"
8d4i,1,0,0,0,1,25,[]
